WaveNumber,DarkFastFast,DarkSlowFast,DarkFastSlow,DarkSlowSlow,LiteFastFast,LiteSlowFast,LiteFastSlow,LiteSlowSlow
430.7713,67.70255,61.4779,59.73521,62.64675,64.27832,62.0175,67.8857,72.75531
430.8918,67.71789,61.36987,59.81689,62.61192,64.33967,61.98015,67.68214,72.62686
431.0123,67.71766,61.28045,59.90655,62.60167,64.34665,61.91453,67.47782,72.56419
431.1328,67.70486,61.24968,59.98919,62.62438,64.32856,61.84325,67.3009,72.60455
431.2534,67.6821,61.31106,60.05027,62.67373,64.31273,61.77865,67.1673,72.75659
431.3739,67.65334,61.47767,60.07901,62.72989,64.30851,61.71822,67.07949,72.99452
431.4944,67.62309,61.73782,60.07022,62.76999,64.30594,61.65147,67.03576,73.27025
431.615,67.59841,62.05627,60.02456,62.77623,64.28295,61.56963,67.0378,73.52544
431.7355,67.58633,62.38296,59.94782,62.74541,64.22173,61.47382,67.09333,73.71134
431.856,67.59189,62.6686,59.84973,62.68863,64.12282,61.37633,67.20901,73.80226
431.9766,67.61691,62.87043,59.74244,62.62635,64.00818,61.29413,67.37925,73.79523
432.0971,67.65939,62.96595,59.63666,62.5762,63.91503,61.23853,67.5766,73.70777
432.2176,67.71379,62.95778,59.54045,62.54394,63.87786,61.20727,67.75409,73.56661
432.3381,67.77307,62.87148,59.45949,62.51871,63.91499,61.18413,67.8506,73.40078
432.4587,67.83095,62.74852,59.39877,62.47916,64.01846,61.14874,67.81518,73.23387
432.5792,67.88293,62.63454,59.36582,62.40449,64.15794,61.08913,67.62474,73.08247
432.6997,67.92525,62.57125,59.3726,62.28542,64.2909,61.01182,67.2958,72.95982
432.8203,67.9544,62.58158,59.43278,62.1325,64.38191,60.94317,66.88223,72.87487
432.9408,67.96413,62.66589,59.55678,61.97379,64.41535,60.91867,66.45981,72.8335
433.0613,67.94669,62.79942,59.74613,61.84696,64.39957,60.96868,66.10783,72.83795
433.1819,67.89489,62.93952,59.98838,61.78233,64.36171,61.09993,65.88117,72.88515
433.3024,67.80608,63.03688,60.25919,61.79478,64.3356,61.2907,65.80286,72.96746
433.4229,67.68588,63.04764,60.5258,61.87803,64.34902,61.49414,65.86495,73.07423
433.5434,67.54977,62.94963,60.75963,62.0107,64.4129,61.65792,66.03934,73.19515
433.664,67.42117,62.74731,60.94026,62.16332,64.51991,61.73568,66.2879,73.32018
433.7845,67.32671,62.47408,61.06112,62.30891,64.64697,61.70281,66.5702,73.44069
433.905,67.2855,62.17936,61.12705,62.43184,64.76443,61.56186,66.84988,73.54831
434.0255,67.30325,61.92091,61.14919,62.52648,64.84328,61.34018,67.09101,73.63508
434.1461,67.3677,61.74628,61.13729,62.59561,64.86555,61.08166,67.26265,73.69507
434.2666,67.45449,61.6793,61.09557,62.64384,64.83064,60.83303,67.34375,73.72678
434.3871,67.53157,61.72112,61.0243,62.67292,64.75687,60.64004,67.32686,73.73451
434.5077,67.57316,61.85247,60.9255,62.67941,64.6773,60.53926,67.22331,73.72807
434.6282,67.56831,62.04353,60.80875,62.65687,64.62843,60.55316,67.05962,73.717
434.7487,67.5246,62.26085,60.6962,62.59927,64.64294,60.68887,66.87341,73.70628
434.8693,67.46598,62.47456,60.61721,62.50583,64.73559,60.93183,66.70067,73.69255
434.9898,67.42415,62.662,60.59734,62.38347,64.89704,61.24604,66.56443,73.66348
435.1103,67.4297,62.80563,60.64745,62.24728,65.09455,61.57545,66.47218,73.60436
435.2308,67.50002,62.89514,60.75428,62.11644,65.28316,61.86121,66.41634,73.50873
435.3514,67.63445,62.92519,60.88372,62.01016,65.42098,62.05816,66.38466,73.38569
435.4719,67.81349,62.89664,60.98875,61.94371,65.4799,62.14604,66.36813,73.26336
435.5924,68.0048,62.8175,61.02881,61.92437,65.45523,62.13628,66.36742,73.17994
435.713,68.16928,62.70355,60.98247,61.95016,65.36203,62.0647,66.38951,73.17062
435.8335,68.26598,62.58022,60.85635,62.00917,65.22834,61.97963,66.43985,73.25218
435.954,68.26486,62.47668,60.6828,62.08221,65.08186,61.92109,66.51324,73.40966
436.0746,68.15076,62.42144,60.51106,62.14614,64.9418,61.9094,66.58875,73.59209
436.1951,67.93115,62.43441,60.3905,62.18106,64.8137,61.93903,66.63291,73.72272
436.3156,67.63337,62.5176,60.3474,62.17811,64.69229,61.98596,66.61607,73.73184
