WaveNumber, DarkFastFast
4.964597e+02,6.776163e+01
4.965802e+02,6.777168e+01
4.967007e+02,6.779111e+01
4.968212e+02,6.781809e+01
4.969418e+02,6.785110e+01
4.970623e+02,6.788931e+01
4.971828e+02,6.793195e+01
4.973033e+02,6.797620e+01
4.974239e+02,6.801707e+01
4.975444e+02,6.804810e+01
4.976649e+02,6.806371e+01
4.977855e+02,6.806250e+01
4.979060e+02,6.804971e+01
4.980266e+02,6.803683e+01
4.981471e+02,6.803741e+01
4.982676e+02,6.806247e+01
4.983881e+02,6.811520e+01
4.985087e+02,6.818834e+01
4.986292e+02,6.826568e+01
4.987497e+02,6.832639e+01
4.988702e+02,6.835402e+01
4.989908e+02,6.834086e+01
4.991113e+02,6.829132e+01
4.992318e+02,6.821901e+01
4.993524e+02,6.814300e+01
4.994729e+02,6.808059e+01
4.995934e+02,6.804160e+01
4.997139e+02,6.802783e+01
4.998345e+02,6.803363e+01
4.999550e+02,6.804995e+01
