WaveNumber, DarkSlowFast
4.640373e+02,6.216184e+01
4.641578e+02,6.219975e+01
4.642784e+02,6.223106e+01
4.643989e+02,6.225420e+01
4.645194e+02,6.226982e+01
4.646400e+02,6.228053e+01
4.647605e+02,6.229018e+01
4.648810e+02,6.230112e+01
4.650015e+02,6.231276e+01
4.651221e+02,6.232224e+01
4.652426e+02,6.232623e+01
4.653631e+02,6.232264e+01
4.654836e+02,6.231282e+01
4.656042e+02,6.230080e+01
4.657247e+02,6.229108e+01
4.658452e+02,6.228761e+01
4.659658e+02,6.229189e+01
4.660863e+02,6.230322e+01
4.662068e+02,6.231968e+01
4.663274e+02,6.233931e+01
4.664479e+02,6.235961e+01
4.665684e+02,6.237700e+01
4.666890e+02,6.238588e+01
4.668095e+02,6.237790e+01
4.669300e+02,6.234366e+01
4.670505e+02,6.227631e+01
4.671711e+02,6.217456e+01
4.672916e+02,6.204598e+01
4.674121e+02,6.190615e+01
4.675327e+02,6.177719e+01
4.676532e+02,6.168325e+01
4.677737e+02,6.164239e+01
4.678942e+02,6.166394e+01
4.680148e+02,6.174519e+01
4.681353e+02,6.187318e+01
4.682558e+02,6.202551e+01
4.683763e+02,6.217474e+01
4.684969e+02,6.229380e+01
4.686174e+02,6.235698e+01
4.687379e+02,6.234816e+01
4.688585e+02,6.226494e+01
4.689790e+02,6.212106e+01
4.690995e+02,6.194471e+01
4.692201e+02,6.177143e+01
4.693406e+02,6.163762e+01
4.694611e+02,6.156712e+01
4.695817e+02,6.156700e+01
4.697022e+02,6.162585e+01
4.698227e+02,6.172098e+01
4.699432e+02,6.182746e+01
4.700638e+02,6.192820e+01
4.701843e+02,6.201999e+01
4.703048e+02,6.211178e+01
4.704254e+02,6.221743e+01
